sentimen llm,tweet_emoji,tweet_with_tags,unknown_emojis
netral,Asalamualaikum salam kenal saya dari Sabang sampai Merauke dan semoga tambah berkembang wslm 🙏,Asalamualaikum salam kenal saya dari Sabang sampai Merauke dan semoga tambah berkembang wslm <Tangan Merapat Berdoa>,[]
negatif,Baju ungu seperti belatung nangka lucu anet 😂😂😂❤,Baju ungu seperti belatung nangka lucu anet <Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Hati Merah>,[]
netral,Maybe orang yang snap tu terkejut 😱 or ianya ss dari video yang dia ambik untuk tengok apa ada dalam rumah tu 🤔.,Maybe orang yang snap tu terkejut <Wajah Berteriak Ketakutan> or ianya ss dari video yang dia ambik untuk tengok apa ada dalam rumah tu <Wajah Berpikir>.,[]
positif,Napa siiiii..unjungnya gitu?sumpah gw nyesel nonton film ini😔😕,Napa siiiii..unjungnya gitu?sumpah gw nyesel nonton film ini<Wajah Termenung Sedih><Wajah Bingung>,[]
positif,Ayah ibu aku minta maaf ya kalau aku sering membuat kalian marah dan aku juga gak bisa memenuhi apa  yang ayah dan ibu mau😭😭😭😭😭😭😇,Ayah ibu aku minta maaf ya kalau aku sering membuat kalian marah dan aku juga gak bisa memenuhi apa  yang ayah dan ibu mau<Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Menangis Kencang><Wajah Tersenyum Malaikat>,[]
netral,"Like dan Subscribenya bayar berapa, Om? 😆","Like dan Subscribenya bayar berapa, Om? <Wajah Tersenyum Mulut Terbuka Dan Mata Tertutup>",[]
negatif,"Kak Indira, maaf, kalo boleh tau apa isi kado dari kak Pedro yang  warna merah sama biru?? hehehh, jadi kepoo, sekaligus kali aja jadi inspirasi siih.  Kalo berkenan aja sih kak jawabnya, kalo engga ya gapapa 😁
Btw, Yaumul Milad kak Indira, Barakallahu fii umrik, sukses selalu, apa yang diimpikan segera tercapai, aamiin","Kak Indira, maaf, kalo boleh tau apa isi kado dari kak Pedro yang  warna merah sama biru?? hehehh, jadi kepoo, sekaligus kali aja jadi inspirasi siih.  Kalo berkenan aja sih kak jawabnya, kalo engga ya gapapa <Wajah Menyeringai Dengan Mata Tersenyum>
Btw, Yaumul Milad kak Indira, Barakallahu fii umrik, sukses selalu, apa yang diimpikan segera tercapai, aamiin",[]
positif,Tiap liat video ini bawaannya mau nangis terus 😕,Tiap liat video ini bawaannya mau nangis terus <Wajah Bingung>,[]
negatif,Filmnya bikin mewek😢,Filmnya bikin mewek<Wajah Menangis>,[]
negatif,tawa nya mood bangeet😭😭❤,tawa nya mood bangeet<Wajah Menangis Kencang><Wajah Menangis Kencang><Hati Merah>,[]
