komentar,komentar_with_tags,sentimen llm
Good👍👍👍👍👍👍👍👍,Good<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,negatif
Anak cina semuanya 🤣🤣😂,Anak cina semuanya <Tertawa Terpingkal-Pingkal><Tertawa Terpingkal-Pingkal><Wajah Menangis Gembira>,netral
"Keren bangat 😭💗
Udah internasional dapat medali emas pula☺️","Keren bangat <Wajah Menangis Kencang>💗
Udah internasional dapat medali emas pula<Wajah Tersenyum Simpel>️",negatif
Kereennnn banget😭❤❤❤,Kereennnn banget<Wajah Menangis Kencang><Hati Merah><Hati Merah><Hati Merah>,negatif
Insecure yg sebenarnya😭🔫,Insecure yg sebenarnya<Wajah Menangis Kencang>🔫,negatif
"nono you're really 
smart little boy ❤❤❤❤","nono you're really 
smart little boy <Hati Merah><Hati Merah><Hati Merah><Hati Merah>",netral
Luar biasa 👍👍,Luar biasa <Jempol Ke Atas><Jempol Ke Atas>,negatif
Masyaallah shampoanya berhasil ...❤,Masyaallah shampoanya berhasil ...<Hati Merah>,negatif
Only Rafi Ahmad whose money has not run out🤣,Only Rafi Ahmad whose money has not run out<Tertawa Terpingkal-Pingkal>,netral
Adek nono  salasatu. Penerus bj Habibie 👍👍🥰,Adek nono  salasatu. Penerus bj Habibie <Jempol Ke Atas><Jempol Ke Atas>🥰,netral
Coma pegaamiyafiwet dong buskuselur😮h dunia,Coma pegaamiyafiwet dong buskuselur<Wajah Terperangah Terbuka>h dunia,positif
MaşyaAlloh 👍👍👍,MaşyaAlloh <Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas>,negatif
Hahaha...dagelan vs nono genius bikin kepinkel2..😂😂😂,Hahaha...dagelan vs nono genius bikin kepinkel2..<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,positif
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,<Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira><Wajah Menangis Gembira>,negatif
MashaAllah tabbarakollah ni ank 👍👍🙏,MashaAllah tabbarakollah ni ank <Jempol Ke Atas><Jempol Ke Atas><Tangan Merapat Berdoa>,negatif
masyaAllah 😍,masyaAllah <Wajah Tersenyum Dengan Mata Hati>,negatif
VIONA LENGARY. TAHNIAH. PUJI TUHAN. SEMOGA.  TERUS BERJAYA 🙏🙏🙏🇮🇩🇮🇩🇮🇩,VIONA LENGARY. TAHNIAH. PUJI TUHAN. SEMOGA.  TERUS BERJAYA <Tangan Merapat Berdoa><Tangan Merapat Berdoa><Tangan Merapat Berdoa>🇮🇩🇮🇩🇮🇩,negatif
"👍👍👍👍👍👍 hebat uy,, patut di sebut sebagai manusia kalkulator..","<Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas><Jempol Ke Atas> hebat uy,, patut di sebut sebagai manusia kalkulator..",negatif
Nono😘😘😘aku nngga jadi ank ntt,Nono<Wajah Meniup Ciuman><Wajah Meniup Ciuman><Wajah Meniup Ciuman>aku nngga jadi ank ntt,netral
Semoga indonesia muncul banyak generasi genius 👍...,Semoga indonesia muncul banyak generasi genius <Jempol Ke Atas>...,negatif
