,tweet emoji,sentimen llm,tweet_with_tags
0,wah belom liat muka gue lagi murka hahahaha 😡😤,negatif,wah belom liat muka gue lagi murka hahahaha <Wajah Bersungut Marah><Wajah Mengeluarkan Uap Dari Hidung>
1,"Mungkin kurang piknik adrenalin 🙄. Mereka yg skeptis tuh kek bad-debitor yg mau seluruh data debitur bank hilang 💣, atau kek mahasiswa-pemalas yg ngarepin data nilai seluruh kampus hancur 🤣. Kaum ""merasa"" paling sengsara yg gak mo pusing sendirian oleh masalahnya 😒.",negatif,"Mungkin kurang piknik adrenalin <Wajah Memutar Mata>. Mereka yg skeptis tuh kek bad-debitor yg mau seluruh data debitur bank hilang <Bom>, atau kek mahasiswa-pemalas yg ngarepin data nilai seluruh kampus hancur <Tertawa Terpingkal-Pingkal>. Kaum ""merasa"" paling sengsara yg gak mo pusing sendirian oleh masalahnya <Wajah Tidak Terhibur>."
2,berserah pada maha esa paling tabah dan sabar selawat dan zikir banyak2 masa nak ambil result result 6A3B+ buat sujud syukur depan orang ramai dia la yang akan buat ceramah bekas pelajar spm to calon2 spm yang akan datang 🙏✨😊,positif,berserah pada maha esa paling tabah dan sabar selawat dan zikir banyak2 masa nak ambil result result 6A3B+ buat sujud syukur depan orang ramai dia la yang akan buat ceramah bekas pelajar spm to calon2 spm yang akan datang <Tangan Merapat Berdoa>✨<Wajah Tersenyum Dengan Mata Tersenyum>
3,Ehekk malu la hahahahahahaha 🙈😂,positif,Ehekk malu la hahahahahahaha <Monyet Menutup Mata><Wajah Menangis Gembira>
4,WKWKWKWK KESAL AKU BACANYA TAPI KOK SENYUM2 😂🤣,positif,WKWKWKWK KESAL AKU BACANYA TAPI KOK SENYUM2 <Wajah Menangis Gembira><Tertawa Terpingkal-Pingkal>
5,Yg membuat lidahku... 👅 Gugup tak bergerak 😰,negatif,Yg membuat lidahku... <Lidah> Gugup tak bergerak <Wajah Mulut Terbuka Dan Keringat Dingin>
6,"Lho kok buru-buru mengatakan orang marah? 🙄 Keknya anda salah tafsir. 😒 Bukan marah sih, cuma mual-mual karena jijik. 🤢",negatif,"Lho kok buru-buru mengatakan orang marah? <Wajah Memutar Mata> Keknya anda salah tafsir. <Wajah Tidak Terhibur> Bukan marah sih, cuma mual-mual karena jijik. <Wajah Mual>"
7,Gila sih itu ngeri bgt galiannya 😱💀,negatif,Gila sih itu ngeri bgt galiannya <Wajah Berteriak Ketakutan><Tengkorak>
8,"Apalagi yg jualan Spotify premium banyak banget, lama-lama bikin risih 😒🙄",negatif,"Apalagi yg jualan Spotify premium banyak banget, lama-lama bikin risih <Wajah Tidak Terhibur><Wajah Memutar Mata>"
9,Buaya darat buset aku tertipu lagi 😭💔,negatif,Buaya darat buset aku tertipu lagi <Wajah Menangis Kencang><Hati Patah>
10,"kalo lu gitugitu aja masih kurang syukur, gimana gua nad?! wkwk 🙄😂",negatif,"kalo lu gitugitu aja masih kurang syukur, gimana gua nad?! wkwk <Wajah Memutar Mata><Wajah Menangis Gembira>"
