sentimen llm,tweet_with_tags
negatif,wah belom liat muka gue lagi murka hahahaha <Wajah Bersungut Marah><Wajah Mengeluarkan Uap Dari Hidung>
negatif,"Mungkin kurang piknik adrenalin <Wajah Memutar Mata>. Mereka yg skeptis tuh kek bad-debitor yg mau seluruh data debitur bank hilang <Bom>, atau kek mahasiswa-pemalas yg ngarepin data nilai seluruh kampus hancur <Tertawa Terpingkal-Pingkal>. Kaum ""merasa"" paling sengsara yg gak mo pusing sendirian oleh masalahnya <Wajah Tidak Terhibur>."
positif,berserah pada maha esa paling tabah dan sabar selawat dan zikir banyak2 masa nak ambil result result 6A3B+ buat sujud syukur depan orang ramai dia la yang akan buat ceramah bekas pelajar spm to calon2 spm yang akan datang <Tangan Merapat Berdoa>✨<Wajah Tersenyum Dengan Mata Tersenyum>
positif,Ehekk malu la hahahahahahaha <Monyet Menutup Mata><Wajah Menangis Gembira>
positif,WKWKWKWK KESAL AKU BACANYA TAPI KOK SENYUM2 <Wajah Menangis Gembira><Tertawa Terpingkal-Pingkal>
negatif,Yg membuat lidahku... <Lidah> Gugup tak bergerak <Wajah Mulut Terbuka Dan Keringat Dingin>
negatif,"Lho kok buru-buru mengatakan orang marah? <Wajah Memutar Mata> Keknya anda salah tafsir. <Wajah Tidak Terhibur> Bukan marah sih, cuma mual-mual karena jijik. <Wajah Mual>"
negatif,Gila sih itu ngeri bgt galiannya <Wajah Berteriak Ketakutan><Tengkorak>
negatif,"Apalagi yg jualan Spotify premium banyak banget, lama-lama bikin risih <Wajah Tidak Terhibur><Wajah Memutar Mata>"
negatif,Buaya darat buset aku tertipu lagi <Wajah Menangis Kencang><Hati Patah>
negatif,"kalo lu gitugitu aja masih kurang syukur, gimana gua nad?! wkwk <Wajah Memutar Mata><Wajah Menangis Gembira>"
negatif,Semoga jangan deh <Wajah Berteriak Ketakutan>. Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan <Wajah Mulut Terbuka Dan Keringat Dingin>
negatif,Hahaha. Memang pun. Baru guna sem ni mmg sakit la.. <Tertawa Terpingkal-Pingkal> Terkejut <Wajah Berteriak Ketakutan>
negatif,Cukup untuk Kita: Selalu ada alasan mengapa Semesta menghadirkan tanda tanya <Wajah Berpikir> Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka <Wajah Termenung Sedih> Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna <Wajah Tanpa Mulut> Dalam setiap Berita Unsri <Wajah Menangis>
negatif,"Makane ku juga heran, napa gk skip aja seh yg ini, sumpeh malesin banget <Wajah Memutar Mata><Wajah Tidak Terhibur>"
negatif,Pyo saja liatnya kesal <Wajah Marah>
negatif,kalo ada yg tersinggung dari twit 10 tahun yg lalu yg keluar dari jempol bocah 14 tahun ya bego sih wgwgwg <Wajah Memutar Mata><Tertawa Terpingkal-Pingkal>
negatif,Jijik sekali aku liat gesture ku sendiri bawain wannabe <Wajah Mual>🤮
negatif,Anjaaay ngeri nyaks <Wajah Berteriak Ketakutan>
negatif,yela da kaye sekarang nak berlagak lak ciss benci ! <Wajah Bersungut Marah><Wajah Tidak Terhibur>
negatif,Ini paling hal benci dari sd sampe smp anj wkwkwlwkw <Wajah Marah><Wajah Memutar Mata>
negatif,eh ngeri bernada ancaman <Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan>
negatif,Ko gua kaya wartawan ya nanya dia mulu hahaha <Wajah Memutar Mata> lah dia nya mana nanya gua kan aneh ih jijik sama diri sendiri <Wajah Mual>
negatif,"maksudnya diluar tuh kadang mereka ganggu diluar pintu kan suka ngetok tapi orangnya teh ga ada, kalo dalem bisa jadi dibawah kolong <Wajah Berteriak Ketakutan> maneh negatif pisan <Tertawa Terpingkal-Pingkal>"
negatif,coba nahan diri utk ga update informasi tp ga tahan &amp; hasilnya malah makin memuakkan 🤮. sedih liat betapa absurdnya kebijakan pemerintah <Wajah Badut> &amp; betapa berkuasanya lord LBP serta lemahnya kepemimpinan pak jokes <Orang Tepok Jidat>‍♂️.
negatif,"Habis itu aku bilang gitu malah tanya tanya komitmen kek yg ada di foto ke 2 <Wajah Memutar Mata>. Kan katanya mau bilang langsung, ya emg dia besoknya jelasin langsung ke aku tp dg alasan yg kurang jelas <Wajah Bingung>. Ya kecewa si cuma mau gimana lagi berarti emg dia bukan buat aku <Wajah Termenung Sedih><Hati Patah>"
positif,I prefer this kind of privacy wkwkwk <Wajah Lega>. Yg sepi2 gini enak. Mau ngomong apa juga enak gaperlu malu gaperlu ada yg tersinggung <Wajah Tersenyum Malaikat>
negatif,Bukti n fakta klo pejabat2 INA ndk disegani olh mrk... <Orang Tepok Jidat> miris malu tngkt international <Wajah Kecewa>
negatif,"Masih heran kenapa ada si manusia"" bentukan kaya gt <Wajah Memutar Mata>, siapkan mood terbaikmu hri ini, se gak nya klo km bete tu mood mu gak langsung hbs <Wajah Tidak Terhibur>"
