sentimen llm,tweet_emoji,tweet_with_tags,unknown_emojis
negatif,wah belom liat muka gue lagi murka hahahaha 😡😤,wah belom liat muka gue lagi murka hahahaha <Wajah Bersungut Marah><Wajah Mengeluarkan Uap Dari Hidung>,[]
negatif,"Mungkin kurang piknik adrenalin 🙄. Mereka yang skeptis tuh kek bad-debitor yang mau seluruh data debitur bank hilang 💣, atau kek mahasiswa-pemalas yang ngarepin data nilai seluruh kampus hancur 🤣. Kaum ""merasa"" paling sengsara yang gak mo pusing sendirian oleh masalahnya 😒.","Mungkin kurang piknik adrenalin <Wajah Memutar Mata>. Mereka yang skeptis tuh kek bad-debitor yang mau seluruh data debitur bank hilang <Bom>, atau kek mahasiswa-pemalas yang ngarepin data nilai seluruh kampus hancur <Tertawa Terpingkal-Pingkal>. Kaum ""merasa"" paling sengsara yang gak mo pusing sendirian oleh masalahnya <Wajah Tidak Terhibur>.",[]
negatif,Yg membuat lidahku... 👅 Gugup tak bergerak 😰,Yg membuat lidahku... <Lidah> Gugup tak bergerak <Wajah Mulut Terbuka Dan Keringat Dingin>,[]
negatif,"Lho kok buru-buru mengatakan orang marah? 🙄 Keknya anda salah tafsir. 😒 Bukan marah sih, cuma mual-mual karena jijik. 🤢","Lho kok buru-buru mengatakan orang marah? <Wajah Memutar Mata> Keknya anda salah tafsir. <Wajah Tidak Terhibur> Bukan marah sih, cuma mual-mual karena jijik. <Wajah Mual>",[]
negatif,"Apalagi yang jualan Spotify premium banyak banget, lama-lama bikin risih 😒🙄","Apalagi yang jualan Spotify premium banyak banget, lama-lama bikin risih <Wajah Tidak Terhibur><Wajah Memutar Mata>",[]
negatif,Buaya darat buset aku tertipu lagi 😭💔,Buaya darat buset aku tertipu lagi <Wajah Menangis Kencang><Hati Patah>,[]
negatif,"kalo lu gitugitu aja masih kurang syukur, gimana aku nad?! wkwk 🙄😂","kalo lu gitugitu aja masih kurang syukur, gimana aku nad?! wkwk <Wajah Memutar Mata><Wajah Menangis Gembira>",[]
negatif,Semoga jangan deh 😱. Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan 😰,Semoga jangan deh <Wajah Berteriak Ketakutan>. Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan <Wajah Mulut Terbuka Dan Keringat Dingin>,[]
negatif,"Hahaha, ya memang gitu. Baru pakai semester ini, ternyata lumayan nyusahin juga 🤣 Terkejut 😱","Hahaha, ya memang gitu. Baru pakai semester ini, ternyata lumayan nyusahin juga <Tertawa Terpingkal-Pingkal> Terkejut <Wajah Berteriak Ketakutan>",[]
negatif,Cukup untuk Kita: Selalu ada alasan mengapa Semesta menghadirkan tanda tanya 🤔 Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka 😔 Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna 😶 Dalam setiap Berita Unsri 😢,Cukup untuk Kita: Selalu ada alasan mengapa Semesta menghadirkan tanda tanya <Wajah Berpikir> Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka <Wajah Termenung Sedih> Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna <Wajah Tanpa Mulut> Dalam setiap Berita Unsri <Wajah Menangis>,[]
negatif,"Makanya aku juga heran, kenapa tidak skip aja seh yang ini, sumpah malesin banget 🙄😒","Makanya aku juga heran, kenapa tidak skip aja seh yang ini, sumpah malesin banget <Wajah Memutar Mata><Wajah Tidak Terhibur>",[]
negatif,Pyo saja liatnya kesal 😠,Pyo saja liatnya kesal <Wajah Marah>,[]
negatif,kalo ada yang tersinggung dari twit 10 tahun yang lalu yang keluar dari jempol bocah 14 tahun ya bego sih wgwgwg 🙄🤣,kalo ada yang tersinggung dari twit 10 tahun yang lalu yang keluar dari jempol bocah 14 tahun ya bego sih wgwgwg <Wajah Memutar Mata><Tertawa Terpingkal-Pingkal>,[]
negatif,Anjaaay ngeri nyaks 😱,Anjaaay ngeri nyaks <Wajah Berteriak Ketakutan>,[]
negatif,"Iya lah, sekarang sudah kaya jadi mulai sombong pula. Cih, benci! 😡😒","Iya lah, sekarang sudah kaya jadi mulai sombong pula. Cih, benci! <Wajah Bersungut Marah><Wajah Tidak Terhibur>",[]
negatif,Ini paling hal benci dari sd sampe smp anjing wkwkwlwkw 😠🙄,Ini paling hal benci dari sd sampe smp anjing wkwkwlwkw <Wajah Marah><Wajah Memutar Mata>,[]
