sentimen llm,tweet_emoji,tweet_with_tags,unknown_emojis
netral,Ehekk malu la hahahahahahaha 🙈😂,Ehekk malu la hahahahahahaha <Monyet Menutup Mata><Wajah Menangis Gembira>,[]
netral,Gila sih itu ngeri bgt galiannya 😱💀,Gila sih itu ngeri bgt galiannya <Wajah Berteriak Ketakutan><Tengkorak>,[]
netral,"Semakin banyak merasa berjasa, semakin sering kamu merasa kecewa 😔. Hanya keikhlasanlah yang dapat mencegahmu dari rasa kecewa 😌🙏.","Semakin banyak merasa berjasa, semakin sering kamu merasa kecewa <Wajah Termenung Sedih>. Hanya keikhlasanlah yang dapat mencegahmu dari rasa kecewa <Wajah Lega><Tangan Merapat Berdoa>.",[]
netral,Heran sama orang yang bisa baca hati orang lain 🙄. Nasehat boleh 👌. Hakimi jangan 🙅.,Heran sama orang yang bisa baca hati orang lain <Wajah Memutar Mata>. Nasehat boleh <Tangan Isyarat Ok>. Hakimi jangan <Orang Isyarat Tidak>.,[]
netral,Kalo pun ada guenya malah risih 🙄. Malah nanti pasti ada masanya chat udah ga jadi prioritas 😑 yang penting sama2 tau tanggungjawab masing2 sama hubungan sih 😐.,Kalo pun ada guenya malah risih <Wajah Memutar Mata>. Malah nanti pasti ada masanya chat udah ga jadi prioritas <Wajah Tanpa Ekspresi> yang penting sama2 tau tanggungjawab masing2 sama hubungan sih <Wajah Netral>.,[]
netral,TMI: Hibernasi 18 jam Puas banget hahahah 😂 Jarang-jarang tidur lama 😴 Tapi ada rasa nyeselnya juga sih liburan isinya cuma tidur doang 😞,TMI: Hibernasi 18 jam Puas banget hahahah <Wajah Menangis Gembira> Jarang-jarang tidur lama <Wajah Tidur> Tapi ada rasa nyeselnya juga sih liburan isinya cuma tidur doang <Wajah Kecewa>,[]
netral,"7. agak risih sih 😒, cuma ya klu emg ngeluh gtu paling ngasih semangat aja 🙏.","7. agak risih sih <Wajah Tidak Terhibur>, cuma ya klu emg ngeluh gtu paling ngasih semangat aja <Tangan Merapat Berdoa>.",[]
netral,Sebenernya mamaku risih gak sih hampir tiap hari aku pelukin gitu? 🤔😅,Sebenernya mamaku risih gak sih hampir tiap hari aku pelukin gitu? <Wajah Berpikir><Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin>,[]
netral,Heran wkwk 🤔🤣,Heran wkwk <Wajah Berpikir><Tertawa Terpingkal-Pingkal>,[]
netral,Maybe orang yang snap tu terkejut 😱 or ianya ss dari video yang dia ambik untuk tengok apa ada dalam rumah tu 🤔.,Maybe orang yang snap tu terkejut <Wajah Berteriak Ketakutan> or ianya ss dari video yang dia ambik untuk tengok apa ada dalam rumah tu <Wajah Berpikir>.,[]
netral,Biar tmn2 bingung harus ketawa apa sedih 😐🤔,Biar tmn2 bingung harus ketawa apa sedih <Wajah Netral><Wajah Berpikir>,[]
netral,advisor kantor aku baru pulang dr china kemarin. Usia udah 60an. Awalnya biasa aja soalnya jarang papasan. Lah hari ini malah papasan dan dia nyapa terus ngajak ngobrol. Mau pasang masker takut dia tersinggung. Bingung 😕🤔,advisor kantor aku baru pulang dr china kemarin. Usia udah 60an. Awalnya biasa aja soalnya jarang papasan. Lah hari ini malah papasan dan dia nyapa terus ngajak ngobrol. Mau pasang masker takut dia tersinggung. Bingung <Wajah Bingung><Wajah Berpikir>,[]
netral,"Saya cm ngingetin aja kok bkn salty atau ngejudge, maaf ya klo tersinggung atas ucapan saya 🙄🙏","Saya cm ngingetin aja kok bkn salty atau ngejudge, maaf ya klo tersinggung atas ucapan saya <Wajah Memutar Mata><Tangan Merapat Berdoa>",[]
netral,"maaf kalo tersinggung ""orang kurus cepet mati"" woe ijat tulisan ""maaf kalo tersinggung"" itu tidak berguna 😛","maaf kalo tersinggung ""orang kurus cepet mati"" woe ijat tulisan ""maaf kalo tersinggung"" itu tidak berguna <Wajah Menjulurkan Lidah>",[]
netral,"Siapppp, jangan risih kalau di balain ya 😛","Siapppp, jangan risih kalau di balain ya <Wajah Menjulurkan Lidah>",[]
netral,Udh terkejut 😛,Udh terkejut <Wajah Menjulurkan Lidah>,[]
netral,JANGAN TANYA SAYA! SAYA HERAN! KAGET SAYA! 😛,JANGAN TANYA SAYA! SAYA HERAN! KAGET SAYA! <Wajah Menjulurkan Lidah>,[]
netral,orang stress gini nih subuh subuh ada aja kelakuannya. heran. 😛,orang stress gini nih subuh subuh ada aja kelakuannya. heran. <Wajah Menjulurkan Lidah>,[]
netral,Sudah bosan dan muak ya? Wkwkwkkw 😛,Sudah bosan dan muak ya? Wkwkwkkw <Wajah Menjulurkan Lidah>,[]
netral,wkwkwk gapapaaa aku bacanya lucu jadinya cuma ngebenerin aja kokk jangan tersinggung yaaa 😛,wkwkwk gapapaaa aku bacanya lucu jadinya cuma ngebenerin aja kokk jangan tersinggung yaaa <Wajah Menjulurkan Lidah>,[]
netral,"Nga ah, tkut kecewa aku wkwkwk 😛","Nga ah, tkut kecewa aku wkwkwk <Wajah Menjulurkan Lidah>",[]
netral,HHhhaha aku pun terkejut 😛,HHhhaha aku pun terkejut <Wajah Menjulurkan Lidah>,[]
netral,"Ga cinta, ga benci, dan ga peduli 😐","Ga cinta, ga benci, dan ga peduli <Wajah Netral>",[]
netral,Duh jd ngeri wkwkw 😛,Duh jd ngeri wkwkw <Wajah Menjulurkan Lidah>,[]
netral,"Risih2 jijik, gimana gituuu wkwk 😛","Risih2 jijik, gimana gituuu wkwk <Wajah Menjulurkan Lidah>",[]
netral,Takutt wkwk 😛,Takutt wkwk <Wajah Menjulurkan Lidah>,[]
netral,"Yash. Tiap ketrigger, demonnya bangun. Rasa ga berharga dan ga layak dicintainya bikin jijik sama diri sendiri. Tapi pasti bisa berdamai sama semua ini. 😛","Yash. Tiap ketrigger, demonnya bangun. Rasa ga berharga dan ga layak dicintainya bikin jijik sama diri sendiri. Tapi pasti bisa berdamai sama semua ini. <Wajah Menjulurkan Lidah>",[]
netral,sama gue heran banget 😕,sama gue heran banget <Wajah Bingung>,[]
netral,Iya atau jijik ini? 😛,Iya atau jijik ini? <Wajah Menjulurkan Lidah>,[]
netral,babi terkejut aku 😛,babi terkejut aku <Wajah Menjulurkan Lidah>,[]
netral,"Jika kau ingin senang carilah hal-hal yang bisa membuatmu senang, cari teman yang bisa di ajak bersenang-senang. Ingat, jangan gunakan hati seseorang hanya untuk bersenang-senang. 😛","Jika kau ingin senang carilah hal-hal yang bisa membuatmu senang, cari teman yang bisa di ajak bersenang-senang. Ingat, jangan gunakan hati seseorang hanya untuk bersenang-senang. <Wajah Menjulurkan Lidah>",[]
netral,Dohwa Dohwa Juda Dohwa Saemi Monmaap daku terpesona sama dohwa 😛,Dohwa Dohwa Juda Dohwa Saemi Monmaap daku terpesona sama dohwa <Wajah Menjulurkan Lidah>,[]
netral,"t-tapiii ntar deketin cewe, rada gugup 😛","t-tapiii ntar deketin cewe, rada gugup <Wajah Menjulurkan Lidah>",[]
netral,Keranda Tok Wan Terbang..terkejut aku dohhh..hujung2 citer ada hantu muncul depan camera..puiihhhh 😛,Keranda Tok Wan Terbang..terkejut aku dohhh..hujung2 citer ada hantu muncul depan camera..puiihhhh <Wajah Menjulurkan Lidah>,[]
netral,Ngeri kali abang senior ini. Jgn marahin adek aku ya bang 😛,Ngeri kali abang senior ini. Jgn marahin adek aku ya bang <Wajah Menjulurkan Lidah>,[]
netral,"Ngeri banget si bang wkwk, minur air putih aja doyong HAHA 😛","Ngeri banget si bang wkwk, minur air putih aja doyong HAHA <Wajah Menjulurkan Lidah>",[]
netral,Dulu ngeyel Kini rewel Heran saja dengan pembisiknya 😛,Dulu ngeyel Kini rewel Heran saja dengan pembisiknya <Wajah Menjulurkan Lidah>,[]
netral,"abis nonton cloy, yang lain terpesona sama kapten ri gue sama kakaknya... gagah betul, wibawanya dapet sekali 😛","abis nonton cloy, yang lain terpesona sama kapten ri gue sama kakaknya... gagah betul, wibawanya dapet sekali <Wajah Menjulurkan Lidah>",[]
netral,takut ngeliat duren. 😛,takut ngeliat duren. <Wajah Menjulurkan Lidah>,[]
netral,"ya Allah astaghfirullah, jumat2 nda boleh hatespeech gitu riaaa wkwkwkwk bukannya nda suka apa gimana, sebenernya gue b aja sama dia (nda suka tapi ya nda benci juga), kadang suka kesel aja sama fans2nya di circle gue utamanya 😛","ya Allah astaghfirullah, jumat2 nda boleh hatespeech gitu riaaa wkwkwkwk bukannya nda suka apa gimana, sebenernya gue b aja sama dia (nda suka tapi ya nda benci juga), kadang suka kesel aja sama fans2nya di circle gue utamanya <Wajah Menjulurkan Lidah>",[]
netral,Dengan tulisan anda ini apakah anda merasa puas. Bijak dikit kenapa. 😛,Dengan tulisan anda ini apakah anda merasa puas. Bijak dikit kenapa. <Wajah Menjulurkan Lidah>,[]
netral,"Pusing sih engga tp takut nya tetep kurang jelas, w minus ga pake silinder tetep jd 2 2 gitu tulisannya 😕","Pusing sih engga tp takut nya tetep kurang jelas, w minus ga pake silinder tetep jd 2 2 gitu tulisannya <Wajah Bingung>",[]
netral,"izinkan saya carut,, BODO TERKEJUT AKU BANGANG BETUL YA ALLAH 😛","izinkan saya carut,, BODO TERKEJUT AKU BANGANG BETUL YA ALLAH <Wajah Menjulurkan Lidah>",[]
netral,Heran... rasanya pemprov DKI Jakarta sudah sangat sangat tanggap dalam merespon wabah bahkan jauh jika dibandingkan pusat terlalu menganggap remeh sejak awal. Tapi masih ada aja celah buat 😕,Heran... rasanya pemprov DKI Jakarta sudah sangat sangat tanggap dalam merespon wabah bahkan jauh jika dibandingkan pusat terlalu menganggap remeh sejak awal. Tapi masih ada aja celah buat <Wajah Bingung>,[]
netral,"excited 😛 dan kadang gugup juga , campur aduk deh semuannya","excited <Wajah Menjulurkan Lidah> dan kadang gugup juga , campur aduk deh semuannya",[]
netral,"Apaan si mba, mba ini kenapa aku jg cewe tp ga tersinggung bahkan ga ngatai ""karna tau itutuh jokes"" 😛","Apaan si mba, mba ini kenapa aku jg cewe tp ga tersinggung bahkan ga ngatai ""karna tau itutuh jokes"" <Wajah Menjulurkan Lidah>",[]
netral,Hidup ni kena kecewa dulu baru gembira. Githewww 😛,Hidup ni kena kecewa dulu baru gembira. Githewww <Wajah Menjulurkan Lidah>,[]
netral,"Klo ada yang salah dari omongan beliau boleh d tegur,krna ilmu agama saya masih belum smpai untuk mnterjemahkannya saya tdk berani untuk menegur...jika bro tersinggung atau mungkin ada msalah dg narasinya boleh bro sndiri yang menegur,dan mungkin bro lebih paham dari saya 😕","Klo ada yang salah dari omongan beliau boleh d tegur,krna ilmu agama saya masih belum smpai untuk mnterjemahkannya saya tdk berani untuk menegur...jika bro tersinggung atau mungkin ada msalah dg narasinya boleh bro sndiri yang menegur,dan mungkin bro lebih paham dari saya <Wajah Bingung>",[]
netral,Takut barang tu terselit virus 😛,Takut barang tu terselit virus <Wajah Menjulurkan Lidah>,[]
netral,"Nah, ini juga senang kayaknya kalau ribut... 😛","Nah, ini juga senang kayaknya kalau ribut... <Wajah Menjulurkan Lidah>",[]
netral,"bukan taknak cerita, tapi kalau cerita pun benda sama je so orang pun dah muak dengar so no worries aku will take care of myself :)","bukan taknak cerita, tapi kalau cerita pun benda sama je so orang pun dah muak dengar so no worries aku will take care of myself :)",[]
netral,"Kalo emang gak pernah ngapain gapapa nderr wajar kok kalo kadang sebulan gak mens, bisa karena hormon stress atau kegemukan dll. Kalo ngerasa insecure banget bisa check ke dokter, kalo malu lewat dokter praktek biasa bisa pakek halodoc. 😕","Kalo emang gak pernah ngapain gapapa nderr wajar kok kalo kadang sebulan gak mens, bisa karena hormon stress atau kegemukan dll. Kalo ngerasa insecure banget bisa check ke dokter, kalo malu lewat dokter praktek biasa bisa pakek halodoc. <Wajah Bingung>",[]
netral,"Udah langsung lapor2 kang? Org skrg jarang bawa duit cash banyak, ngeri duit plastiknya aja... 😛","Udah langsung lapor2 kang? Org skrg jarang bawa duit cash banyak, ngeri duit plastiknya aja... <Wajah Menjulurkan Lidah>",[]
netral,"Tkut terpesona,, aw 😛","Tkut terpesona,, aw <Wajah Menjulurkan Lidah>",[]
netral,Kadang jijik kadang seneng eohhh 😛,Kadang jijik kadang seneng eohhh <Wajah Menjulurkan Lidah>,[]
netral,iyla bpmu adala suamiq HAHAHAH 😛,iyla bpmu adala suamiq HAHAHAH <Wajah Menjulurkan Lidah>,[]
netral,Congrats. Sebenarnya semalam aku terkejut kau tido lewat 😛,Congrats. Sebenarnya semalam aku terkejut kau tido lewat <Wajah Menjulurkan Lidah>,[]
netral,"Biasa nya sih ga sampai jam segini, makanya ini terheran heran wkwk 😛","Biasa nya sih ga sampai jam segini, makanya ini terheran heran wkwk <Wajah Menjulurkan Lidah>",[]
netral,Dah penat jadi pandai latu 😛,Dah penat jadi pandai latu <Wajah Menjulurkan Lidah>,[]
netral,Kok urang tersinggung yah 😛,Kok urang tersinggung yah <Wajah Menjulurkan Lidah>,[]
netral,Kalo dipikir pikir masih terpesona banget sama outfitnya iu di hotel deluna 😛,Kalo dipikir pikir masih terpesona banget sama outfitnya iu di hotel deluna <Wajah Menjulurkan Lidah>,[]
netral,"Kalian risih ga sih, chtingan sama org yang typo mulu? 😛","Kalian risih ga sih, chtingan sama org yang typo mulu? <Wajah Menjulurkan Lidah>",[]
netral,Gw keplak palanya...jan salahkan kalo jiwa emak2 gw bangkit wkwkwkk 😛 dan satu lagi gw tyda ada masalah kalo ada mutual2 gw yang benci wlm....itu hak org masing2...selama ga kelewat batas yah gapapa hahhaah...yowes udh waktunya tidur...goodnight,Gw keplak palanya...jan salahkan kalo jiwa emak2 gw bangkit wkwkwkk <Wajah Menjulurkan Lidah> dan satu lagi gw tyda ada masalah kalo ada mutual2 gw yang benci wlm....itu hak org masing2...selama ga kelewat batas yah gapapa hahhaah...yowes udh waktunya tidur...goodnight,[]
netral,nonton kak nnti otomatis mrasa kesal 😛 aww,nonton kak nnti otomatis mrasa kesal <Wajah Menjulurkan Lidah> aww,[]
netral,selama jungkir balik di dunia kpop. baru kali ini gue terpesona liat cewek korea. 😛,selama jungkir balik di dunia kpop. baru kali ini gue terpesona liat cewek korea. <Wajah Menjulurkan Lidah>,[]
netral,Orang cuti berat makin naik but not me hahahaha 😛 doc also terkejut cause berat turun,Orang cuti berat makin naik but not me hahahaha <Wajah Menjulurkan Lidah> doc also terkejut cause berat turun,[]
