sentimen llm,tweet_emoji,tweet_with_tags,unknown_emojis
positif,WKWKWKWK KESAL AKU BACANYA TAPI KOK SENYUM2 😂🤣,WKWKWKWK KESAL AKU BACANYA TAPI KOK SENYUM2 <Wajah Menangis Gembira><Tertawa Terpingkal-Pingkal>,[]
positif,Aku lebih menyukai privasi yang seperti ini wkwkwkw 😌. yang sepi2 gini enak. Mau ngomong apa juga enak gaperlu malu gaperlu ada yang tersinggung 😇,Aku lebih menyukai privasi yang seperti ini wkwkwkw <Wajah Lega>. yang sepi2 gini enak. Mau ngomong apa juga enak gaperlu malu gaperlu ada yang tersinggung <Wajah Tersenyum Malaikat>,[]
positif,Bapak lajuu hahaha 😂. Functionnn klau susah 💯. Secret boss dia hritu senang gila hahaha 🤣,Bapak lajuu hahaha <Wajah Menangis Gembira>. Functionnn klau susah <Nilai Seratus Sempurna>. Secret boss dia hritu senang gila hahaha <Tertawa Terpingkal-Pingkal>,[]
positif,"Iyaa puas makan sabbat burger, nyokap aja suka banget 😍😋. Kalau malem antrinya mantep 😅👍","Iyaa puas makan sabbat burger, nyokap aja suka banget <Wajah Tersenyum Dengan Mata Hati><Wajah Menikmati Makanan Lezat>. Kalau malem antrinya mantep <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Jempol Ke Atas>",[]
positif,Pagi nanti nak buat kuis la. Teka haiwan je. Alaa senang je tu 😉😊,Pagi nanti nak buat kuis la. Teka haiwan je. Alaa senang je tu <Wajah Mengedipkan Mata><Wajah Tersenyum Dengan Mata Tersenyum>,[]
positif,Terlalu seksi bu..... Takut ada yang kepanasan........ 🔥😏,Terlalu seksi bu..... Takut ada yang kepanasan........ <Api><Wajah Tersenyum Sinis>,[]
positif,"Akui terpesona dengan sikap BCL, Ariel NOAH tak segan minta bayaran berupa perasaan saat ia ngamen di rumah istri mendiang Ashraf Sinclair. 😍💞","Akui terpesona dengan sikap BCL, Ariel NOAH tak segan minta bayaran berupa perasaan saat ia ngamen di rumah istri mendiang Ashraf Sinclair. <Wajah Tersenyum Dengan Mata Hati><Hati Berputar>",[]
positif,Foya foya dulu kalo udah puas baru nikah 🤑💃,Foya foya dulu kalo udah puas baru nikah <Wajah Mata Duitan><Wanita Menari>,[]
positif,"Syukur Doakan aku pulak after this,aamiin 🙏😇","Syukur Doakan aku pulak after this,aamiin <Tangan Merapat Berdoa><Wajah Tersenyum Malaikat>",[]
positif,Pasti dalam hati si abang ojol itu kesal sama ancaman mba n udh mikir yang buruk2 tentang si mba'nya... 😠 Tp stelah lihat polisi di ujung jalan pasti dia bersyukur banget krn mba udh cegah dia masuk jalur busway... 😌🙏,Pasti dalam hati si abang ojol itu kesal sama ancaman mba n udh mikir yang buruk2 tentang si mba'nya... <Wajah Marah> Tp stelah lihat polisi di ujung jalan pasti dia bersyukur banget krn mba udh cegah dia masuk jalur busway... <Wajah Lega><Tangan Merapat Berdoa>,[]
positif,"Ada dua nikmat di mana manusia banyak tertipu karenanya, yaitu kesehatan dan waktu luang. (HR Bukhari) 😌🙏","Ada dua nikmat di mana manusia banyak tertipu karenanya, yaitu kesehatan dan waktu luang. (HR Bukhari) <Wajah Lega><Tangan Merapat Berdoa>",[]
positif,sambal matahnya tidak pernah bikin kecewa Buk 😍😋,sambal matahnya tidak pernah bikin kecewa Buk <Wajah Tersenyum Dengan Mata Hati><Wajah Menikmati Makanan Lezat>,[]
positif,Boro2 ama atlet ama coach aja udah gugup wkwkwk 😅🤣,Boro2 ama atlet ama coach aja udah gugup wkwkwk <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Tertawa Terpingkal-Pingkal>,[]
positif,"Utk harapan kpd treasure, smoga ini jadi awalan yang baik n diterima lokal dan tentunya internasional. 🌟 yang pasti gw pribadi sangat terkejut dan respect kpd treasure ini pdhl blm resmi debut lo h tapi prestasi nya udh luar biasa 😍👏","Utk harapan kpd treasure, smoga ini jadi awalan yang baik n diterima lokal dan tentunya internasional. <Bintang Bersinar> yang pasti gw pribadi sangat terkejut dan respect kpd treasure ini pdhl blm resmi debut lo h tapi prestasi nya udh luar biasa <Wajah Tersenyum Dengan Mata Hati><Tepuk Tangan>",[]
positif,"soalnya aku suka ngigo kak, takut aja nanti tau-tau nyanyi michogane wkwk 🤣. pernah tau aku ngigo ""asahi ganteng banget"" adekku yang denger gitu kan 😂😍","soalnya aku suka ngigo kak, takut aja nanti tau-tau nyanyi michogane wkwk <Tertawa Terpingkal-Pingkal>. pernah tau aku ngigo ""asahi ganteng banget"" adekku yang denger gitu kan <Wajah Menangis Gembira><Wajah Tersenyum Dengan Mata Hati>",[]
positif,Hahahahahahaha bikin gugup gak tuh mbak mbaknya hahahhaha 😂🤣,Hahahahahahaha bikin gugup gak tuh mbak mbaknya hahahhaha <Wajah Menangis Gembira><Tertawa Terpingkal-Pingkal>,[]
positif,"terlalu semangat gasabar pingin bikin kamutu kesal lagi eaa.. 😜 tapi stock masik sekilo, uda aman dari begal sualnya.. jajaja 😂","terlalu semangat gasabar pingin bikin kamutu kesal lagi eaa.. <Wajah Menjulurkan Lidah Dan Mengedipkan Mata> tapi stock masik sekilo, uda aman dari begal sualnya.. jajaja <Wajah Menangis Gembira>",[]
